system_id,institution_id,institution_size,student_population,system_type,system_age,lines_of_code,cyclomatic_complexity,function_points,external_dependencies,api_connections,database_links,response_time_ms,throughput_rps,resource_utilization,data_volume_gb,peak_load_users,annual_maintenance_cost,critical_level,compliance_requirements,documentation
SYS_0001,INST_46,Medium,11843,Student Information,6,112806,31,467,48,30,12,138,73,0.38,3544,8191,90928,High,Both,"
System ID: SYS_0001
Type: Student Information System (SIS)
Institution: INST_46
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 6 years
- Code Base: 112806 lines of code
- Complexity Score: 31
Performance Metrics:
- Average Response Time: 138ms
- Peak Load: 8191 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- High response time during peak periods
- Limited scalability"
SYS_0002,INST_39,Small,2432,HR,9,185543,35,411,5,19,20,447,369,0.35,924,1567,40706,Medium,GDPR,
SYS_0003,INST_17,Small,3924,Learning Management,7,749974,46,579,48,3,12,266,62,0.83,1443,4629,88612,Medium,GDPR,"
System ID: SYS_0003
Type: Learning Management System (LMS)
Institution: INST_17
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 7 years
- Code Base: 749974 lines of code
- Complexity Score: 46
Performance Metrics:
- Average Response Time: 266ms
- Peak Load: 4629 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Data synchronization delays
- High response time during peak periods"
SYS_0004,INST_14,Large,47410,Learning Management,11,999567,53,113,39,23,15,611,51,0.73,3998,3805,23080,Low,GDPR,"
System ID: SYS_0004
Type: Learning Management System (LMS)
Institution: INST_14
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 11 years
- Code Base: 999567 lines of code
- Complexity Score: 53
Performance Metrics:
- Average Response Time: 611ms
- Peak Load: 3805 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Data synchronization delays
- Integration bottlenecks"
SYS_0005,INST_18,Large,33555,Finance,8,178715,87,382,16,22,11,662,65,0.81,273,2039,15626,Low,None,
SYS_0006,INST_23,Small,4058,Finance,13,860863,73,399,40,15,14,448,495,0.73,323,4056,16163,High,Both,
SYS_0007,INST_48,Medium,13030,Student Information,11,493143,99,432,36,19,17,462,305,0.86,7855,8459,66223,Medium,None,"
System ID: SYS_0007
Type: Student Information System (SIS)
Institution: INST_48
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 11 years
- Code Base: 493143 lines of code
- Complexity Score: 99
Performance Metrics:
- Average Response Time: 462ms
- Peak Load: 8459 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Integration bottlenecks
- High response time during peak periods"
SYS_0008,INST_48,Small,1919,Finance,15,928726,53,667,27,29,19,634,405,0.75,1450,4307,66443,Medium,GDPR,
SYS_0009,INST_37,Small,4032,Learning Management,13,462017,38,346,10,7,16,585,407,0.36,869,8069,24098,Medium,Both,"
System ID: SYS_0009
Type: Learning Management System (LMS)
Institution: INST_37
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 13 years
- Code Base: 462017 lines of code
- Complexity Score: 38
Performance Metrics:
- Average Response Time: 585ms
- Peak Load: 8069 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- High response time during peak periods
- Data synchronization delays"
SYS_0010,INST_39,Large,43873,Finance,13,584368,76,642,27,26,11,968,455,0.37,1086,8810,67972,Low,GDPR,
SYS_0011,INST_45,Small,3163,Learning Management,11,821003,28,633,38,3,2,678,169,0.41,3297,6868,29925,Low,None,"
System ID: SYS_0011
Type: Learning Management System (LMS)
Institution: INST_45
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 11 years
- Code Base: 821003 lines of code
- Complexity Score: 28
Performance Metrics:
- Average Response Time: 678ms
- Peak Load: 6868 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Data synchronization delays
- Limited scalability"
SYS_0012,INST_12,Large,28008,Finance,8,418212,46,861,28,16,12,677,408,0.69,1873,5466,23160,Low,None,
SYS_0013,INST_14,Large,15739,Learning Management,3,927992,49,519,9,9,7,301,467,0.38,1865,7629,64530,Low,FERPA,"
System ID: SYS_0013
Type: Learning Management System (LMS)
Institution: INST_14
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 3 years
- Code Base: 927992 lines of code
- Complexity Score: 49
Performance Metrics:
- Average Response Time: 301ms
- Peak Load: 7629 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Data synchronization delays
- Memory leaks under heavy load"
SYS_0014,INST_26,Large,17729,HR,12,725507,55,426,6,9,11,274,262,0.52,544,8619,62793,Low,GDPR,
SYS_0015,INST_25,Large,23539,HR,10,208507,55,327,35,10,3,106,393,0.44,996,3762,56665,High,None,
SYS_0016,INST_30,Large,18515,Student Information,11,308600,52,351,25,18,4,458,361,0.35,9205,7780,13262,High,GDPR,"
System ID: SYS_0016
Type: Student Information System (SIS)
Institution: INST_30
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 11 years
- Code Base: 308600 lines of code
- Complexity Score: 52
Performance Metrics:
- Average Response Time: 458ms
- Peak Load: 7780 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Limited scalability
- High response time during peak periods"
SYS_0017,INST_44,Large,23661,Finance,5,660295,75,986,28,5,17,196,254,0.43,1043,6541,87260,Low,Both,
SYS_0018,INST_15,Medium,7820,Student Information,14,518900,74,753,5,8,4,560,411,0.74,1153,5806,72389,High,FERPA,"
System ID: SYS_0018
Type: Student Information System (SIS)
Institution: INST_15
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 14 years
- Code Base: 518900 lines of code
- Complexity Score: 74
Performance Metrics:
- Average Response Time: 560ms
- Peak Load: 5806 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Data synchronization delays
- High response time during peak periods"
SYS_0019,INST_8,Small,1884,HR,7,760625,54,302,37,25,7,467,333,0.63,327,4962,19249,Medium,FERPA,
SYS_0020,INST_15,Medium,5183,Learning Management,4,291806,31,453,18,5,2,983,79,0.85,822,9679,17645,High,FERPA,"
System ID: SYS_0020
Type: Learning Management System (LMS)
Institution: INST_15
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 4 years
- Code Base: 291806 lines of code
- Complexity Score: 31
Performance Metrics:
- Average Response Time: 983ms
- Peak Load: 9679 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Integration bottlenecks
- Memory leaks under heavy load"
SYS_0021,INST_50,Medium,10505,HR,10,499802,37,788,6,3,19,902,119,0.7,954,2562,99699,High,GDPR,
SYS_0022,INST_30,Small,1652,Learning Management,7,781707,66,776,21,30,11,935,362,0.89,4013,1536,32707,High,None,"
System ID: SYS_0022
Type: Learning Management System (LMS)
Institution: INST_30
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 7 years
- Code Base: 781707 lines of code
- Complexity Score: 66
Performance Metrics:
- Average Response Time: 935ms
- Peak Load: 1536 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Integration bottlenecks
- Memory leaks under heavy load"
